Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.02,.05,-.03,-.13,-.25,-.17,.06,-.05,-.15,-.01,.05,-.05,***,***,-.04,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.03,-.05,-.01,-.01,.09,.00,-.01,-.04,.09,-.05,-.02
1882,.06,.06,.07,-.02,-.05,-.16,-.05,.01,-.05,.03,-.02,-.08,-.02,.00,.07,.00,-.07,-.01
1883,-.03,-.09,-.09,-.08,-.10,-.02,-.08,-.05,-.11,-.06,-.05,-.07,-.07,-.07,-.07,-.09,-.05,-.07
1884,-.09,-.06,-.11,-.22,-.32,-.29,-.22,-.07,-.11,-.07,-.11,-.16,-.15,-.14,-.07,-.22,-.19,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.42,-.33,-.22,-.19,-.13,-.12,-.10,-.25,-.25,-.20,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.15,-.32,-.21,-.19,-.15,-.24,-.16,-.29,-.20,-.19,-.15,-.18,-.24,-.18
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.30,-.37,-.31,-.24,-.26
1888,-.21,-.13,-.21,-.20,-.29,-.31,-.20,-.09,-.04,.06,.06,.15,-.12,-.15,-.19,-.23,-.20,.03
1889,.07,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.08,.06,-.13,-.11
1890,-.21,-.33,-.34,-.35,-.43,-.33,-.32,-.39,-.38,-.40,-.25,-.17,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.22,-.26,-.20,-.20,-.17,-.29,-.23,-.22,-.24,-.16,-.11,-.06,-.20,-.21,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.23,-.38,-.25,-.21,-.13,-.01,-.04,-.12,-.16,-.15,-.07,-.20,-.28,-.06
1893,-.13,-.18,-.12,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.04,-.03,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.15,-.16,-.24,-.36,-.35,-.40,-.26,-.20,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.18,-.12,-.21,-.05,-.15,-.15,-.09,-.22,-.14,-.17
1896,-.09,-.07,-.04,-.01,-.15,-.29,-.05,.01,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.11,.00,-.16,-.16,-.07,-.11,-.10,-.09,-.10,-.13,-.05,-.03,.09,-.01,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.12,-.09,-.06,-.14,-.15,-.18,-.18,-.17,-.09
1900,-.11,.03,-.05,-.08,-.13,-.09,-.13,-.07,-.06,-.01,.01,-.10,-.07,-.06,-.05,-.08,-.10,-.02
1901,-.11,-.13,-.14,-.15,-.18,-.24,-.28,-.24,-.17,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.25,-.18
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.23,-.27,-.26,-.23,-.22,-.21,-.16,-.20,-.24,-.25
1903,-.25,-.23,-.30,-.36,-.36,-.39,-.27,-.35,-.51,-.48,-.44,-.47,-.37,-.35,-.24,-.34,-.34,-.48
1904,-.52,-.57,-.57,-.52,-.60,-.48,-.43,-.43,-.48,-.38,-.26,-.32,-.46,-.47,-.52,-.56,-.45,-.37
1905,-.28,-.36,-.20,-.21,-.29,-.27,-.30,-.16,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.24,-.20
1906,.01,-.05,-.17,-.15,-.26,-.27,-.18,-.23,-.32,-.24,-.36,-.34,-.21,-.19,-.04,-.19,-.23,-.31
1907,-.28,-.30,-.24,-.29,-.34,-.32,-.30,-.29,-.28,-.25,-.37,-.36,-.30,-.30,-.31,-.29,-.30,-.30
1908,-.35,-.38,-.40,-.41,-.46,-.46,-.34,-.35,-.41,-.44,-.41,-.44,-.40,-.40,-.36,-.42,-.39,-.42
1909,-.51,-.47,-.41,-.53,-.59,-.52,-.45,-.32,-.41,-.46,-.53,-.56,-.48,-.47,-.47,-.51,-.43,-.47
1910,-.50,-.46,-.53,-.45,-.39,-.32,-.30,-.33,-.35,-.51,-.54,-.54,-.43,-.44,-.51,-.45,-.32,-.46
1911,-.54,-.57,-.59,-.62,-.58,-.67,-.46,-.44,-.44,-.34,-.23,-.11,-.47,-.50,-.55,-.60,-.52,-.34
1912,-.15,-.12,-.14,-.18,-.28,-.32,-.31,-.29,-.34,-.30,-.25,-.29,-.25,-.23,-.12,-.20,-.31,-.29
1913,-.25,-.25,-.38,-.29,-.32,-.40,-.19,-.20,-.26,-.24,-.24,-.15,-.26,-.28,-.26,-.33,-.26,-.25
1914,-.09,-.10,-.13,-.20,-.22,-.28,-.13,-.05,-.04,-.05,-.08,-.02,-.11,-.12,-.11,-.18,-.15,-.05
1915,-.14,.02,.04,.05,-.10,-.30,-.13,-.27,-.19,-.21,-.23,-.19,-.14,-.12,-.05,.00,-.23,-.21
1916,-.16,-.13,-.18,-.27,-.33,-.48,-.40,-.20,-.24,-.34,-.49,-.52,-.31,-.28,-.16,-.26,-.36,-.36
1917,-.64,-.59,-.53,-.47,-.39,-.39,-.19,-.06,-.16,-.27,-.37,-.30,-.36,-.38,-.58,-.46,-.21,-.27
1918,-.28,-.25,-.26,-.31,-.38,-.28,-.29,-.27,-.10,-.06,.01,-.01,-.21,-.23,-.27,-.32,-.28,-.05
1919,-.01,-.06,-.04,-.03,-.14,-.32,-.25,-.37,-.31,-.31,-.35,-.29,-.21,-.18,-.03,-.07,-.31,-.33
1920,-.34,-.24,-.25,-.28,-.32,-.44,-.33,-.20,-.08,-.13,-.09,-.21,-.24,-.25,-.29,-.28,-.33,-.10
1921,-.29,-.28,-.37,-.44,-.35,-.38,-.26,-.22,-.20,-.05,-.18,-.22,-.27,-.27,-.26,-.39,-.29,-.14
1922,-.28,-.26,-.19,-.30,-.47,-.45,-.27,-.29,-.29,-.33,-.18,-.24,-.30,-.30,-.26,-.32,-.34,-.27
1923,-.38,-.32,-.29,-.29,-.28,-.34,-.32,-.38,-.43,-.32,-.20,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.34,-.45,-.41,-.47,-.53,-.51,-.36,-.33,-.19,-.27,-.37,-.47
1925,-.50,-.43,-.33,-.36,-.36,-.38,-.26,-.20,-.33,-.24,-.11,-.08,-.30,-.34,-.48,-.35,-.28,-.23
1926,-.11,-.12,-.15,-.11,-.22,-.29,-.32,-.18,-.23,-.27,-.28,-.28,-.21,-.20,-.10,-.16,-.26,-.26
1927,-.25,-.27,-.30,-.35,-.37,-.40,-.29,-.30,-.27,-.24,-.19,-.26,-.29,-.29,-.27,-.34,-.33,-.23
1928,-.28,-.26,-.26,-.24,-.41,-.43,-.28,-.25,-.26,-.29,-.22,-.29,-.29,-.29,-.27,-.30,-.32,-.26
1929,-.34,-.36,-.46,-.47,-.48,-.46,-.37,-.43,-.29,-.26,-.19,-.42,-.38,-.37,-.33,-.47,-.42,-.25
