Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.05,-.40,-.12,-.01,-.81,-.52,-.31,-.13,-.11,-.04,.05,.68
1881,-.09,-.19,.00,-.37,.11,-.07,-.93,-.49,-.21,.11,.10,-.05,-.07,.60
1882,-.11,-.21,-.01,-.32,-.04,.01,-1.41,-.31,-.14,-.03,-.05,.01,.04,.64
1883,-.18,-.29,-.07,-.36,-.16,-.01,-.17,-.59,-.27,-.17,-.16,-.04,.07,.51
1884,-.28,-.43,-.15,-.61,-.14,-.14,-1.30,-.67,-.47,-.12,-.17,-.19,-.02,.66
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.50,-.71,-.45,-.06,-.20,-.33,-.15,.83
1886,-.31,-.44,-.20,-.58,-.20,-.21,-1.58,-.53,-.40,-.21,-.18,-.20,-.20,.60
1887,-.36,-.44,-.29,-.54,-.30,-.28,-1.76,-.54,-.30,-.29,-.31,-.27,-.26,.33
1888,-.17,-.24,-.11,-.43,.10,-.28,-1.30,-.45,-.25,.07,.13,-.31,-.22,.17
1889,-.11,-.18,-.04,-.30,.08,-.16,-.68,-.25,-.28,.02,.14,-.15,-.15,.46
1890,-.35,-.39,-.32,-.47,-.37,-.22,-1.14,-.58,-.28,-.26,-.47,-.17,-.27,.16
1891,-.22,-.26,-.19,-.43,-.08,-.21,-1.10,-.35,-.36,.01,-.17,-.18,-.24,-.15
1892,-.27,-.40,-.15,-.43,-.30,-.08,-1.11,-.66,-.17,-.34,-.26,.03,-.21,.10
1893,-.31,-.48,-.15,-.51,-.37,-.04,-.65,-.55,-.47,-.43,-.31,.07,-.20,-.03
1894,-.31,-.39,-.22,-.33,-.34,-.23,-.95,-.34,-.19,-.49,-.19,-.14,-.35,-.37
1895,-.23,-.31,-.15,-.41,-.08,-.25,-.70,-.54,-.27,-.15,.00,-.19,-.32,-.57
1896,-.11,-.20,-.03,-.36,.10,-.15,-.90,-.39,-.23,.05,.14,-.15,-.13,.26
1897,-.11,-.17,-.05,-.36,.17,-.23,-.57,-.48,-.25,.14,.20,-.19,-.27,.41
1898,-.28,-.29,-.26,-.36,-.22,-.26,-1.16,-.26,-.24,-.18,-.26,-.27,-.21,.39
1899,-.18,-.21,-.14,-.25,-.12,-.18,-1.03,-.12,-.15,-.16,-.08,-.15,-.22,.59
1900,-.08,-.09,-.06,-.21,.17,-.29,-.54,-.18,-.15,.09,.25,-.28,-.29,.28
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.35,-.12,-.15,-.06,-.01,-.27,-.33,.27
1902,-.28,-.34,-.22,-.54,-.04,-.34,-1.51,-.52,-.32,-.02,-.05,-.27,-.43,-.04
1903,-.37,-.38,-.36,-.47,-.29,-.38,-.21,-.44,-.57,-.24,-.33,-.35,-.40,-.48
1904,-.47,-.49,-.45,-.52,-.46,-.43,-.21,-.61,-.55,-.43,-.48,-.37,-.49,-1.31
1905,-.26,-.29,-.22,-.41,-.08,-.35,-.03,-.25,-.62,-.11,-.04,-.32,-.37,-.33
1906,-.22,-.23,-.20,-.26,-.17,-.23,-.26,-.08,-.39,-.18,-.16,-.20,-.22,-.71
